specific_phenotype	label	phenotype
K61 Abscess of anal and rectal regions	K61.tsv	K00 - K93 Diseases of the digestive system
K62 Other diseases of anus and rectum	K62.tsv	K00 - K93 Diseases of the digestive system
K63 Other diseases of intestine	K63.tsv	K00 - K93 Diseases of the digestive system
K65 Peritonitis	K65.tsv	K00 - K93 Diseases of the digestive system
K66 Other disorders of peritoneum	K66.tsv	K00 - K93 Diseases of the digestive system
K70 Alcoholic liver disease	K70.tsv	K00 - K93 Diseases of the digestive system
K74 Fibrosis and cirrhosis of liver	K74.tsv	K00 - K93 Diseases of the digestive system
K75 Other inflammatory liver diseases	K75.tsv	K00 - K93 Diseases of the digestive system
K76 Other diseases of liver	K76.tsv	K00 - K93 Diseases of the digestive system
K80 Cholelithiasis	K80.tsv	K00 - K93 Diseases of the digestive system
K81 Cholecystitis	K81.tsv	K00 - K93 Diseases of the digestive system
K82 Other diseases of gallbladder	K82.tsv	K00 - K93 Diseases of the digestive system
K83 Other diseases of biliary tract	K83.tsv	K00 - K93 Diseases of the digestive system
K85 Acute pancreatitis	K85.tsv	K00 - K93 Diseases of the digestive system
K86 Other diseases of pancreas	K86.tsv	K00 - K93 Diseases of the digestive system
K90 Intestinal malabsorption	K90.tsv	K00 - K93 Diseases of the digestive system
K91 Postprocedural disorders of digestive system, not elsewhere classified	K91.tsv	K00 - K93 Diseases of the digestive system
K92 Other diseases of digestive system	K92.tsv	K00 - K93 Diseases of the digestive system
"L02 Cutaneous abscess, furuncle and carbuncle"	L02.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L03 Cellulitis	L03.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L05 Pilonidal cyst	L05.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L08 Other local infections of skin and subcutaneous tissue	L08.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L27 Dermatitis due to substances taken internally	L27.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L28 Lichen simplex chronicus and prurigo	L28.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L29 Pruritus	L29.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L30 Other dermatitis	L30.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L40 Psoriasis	L40.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L43 Lichen planus	L43.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L50 Urticaria	L50.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L53 Other erythematous conditions	L53.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L57 Skin changes due to chronic exposure to nonionising radiation	L57.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L60 Nail disorders	L60.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L71 Rosacea	L71.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L72 Follicular cysts of skin and subcutaneous tissue	L72.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L73 Other follicular disorders	L73.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L81 Other disorders of pigmentation	L81.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L82 Seborrhoeic keratosis	L82.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L85 Other epidermal thickening	L85.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L90 Atrophic disorders of skin	L90.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L91 Hypertrophic disorders of skin	L91.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
L92 Granulomatous disorders of skin and subcutaneous tissue	L92.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
"L97 Ulcer of lower limb, not elsewhere classified"	L97.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
"L98 Other disorders of skin and subcutaneous tissue, not elsewhere classified"	L98.tsv	L00 - L99 Diseases of the skin and subcutaneous tissue
M00 Pyogenic arthritis	M00.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M05 Seropositive rheumatoid arthritis	M05.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M06 Other rheumatoid arthritis	M06.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M10 Gout	M10.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
"M13 Other arthritis, achilles"	M13_ACHILLESTEND.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M13 Other arthritis	M13.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M15 Polyarthrosis	M15.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M16 Coxarthrosis [arthrosis of hip]	M16.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M17 Gonarthrosis [arthrosis of knee]	M17.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M18 Arthrosis of first carpometacarpal joint	M18.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M19 Other arthrosis	M19.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M20 Acquired deformities of fingers and toes	M20.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M21 Other acquired deformities of limbs	M21.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M22 Disorders of patella	M22.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M23 Internal derangement of knee	M23.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M24 Other specific joint derangements	M24.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
"M25 Other joint disorders, not elsewhere classified"	M25.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M31 Other necrotising vasculopathies	M31.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M35 Other systemic involvement of connective tissue	M35.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M41 Scoliosis	M41.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M43 Other deforming dorsopathies	M43.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M45 Ankylosing spondylitis	M45.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M46 Other inflammatory spondylopathies	M46.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M47 Spondylosis	M47.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M48 Other spondylopathies	M48.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M50 Cervical disk disorders	M50.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M51 Other intervertebral disk disorders	M51.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
"M53 Other dorsopathies, not elsewhere classified"	M53.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M54 Dorsalgia	M54.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M60 Myositis	M60.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M62 Other disorders of muscle	M62.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M65 Synovitis and tenosynovitis	M65.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M66 Spontaneous rupture of synovium and tendon	M66.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M67 Other disorders of synovium and tendon	M67.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
"M70 Soft tissue disorders related to use, overuse and pressure"	M70.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M71 Other bursopathies	M71.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M72 Fibroblastic disorders	M72.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M75 Shoulder lesions	M75.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
"M76 Enthesopathies of lower limb, excluding foot"	M76.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M77 Other enthesopathies	M77.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
"M79 Other soft tissue disorders, not elsewhere classified"	M79.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M80 Osteoporosis with pathological fracture	M80.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M81 Osteoporosis without pathological fracture	M81.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M84 Disorders of continuity of bone	M84.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M85 Other disorders of bone density and structure	M85.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M86 Osteomyelitis	M86.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M87 Osteonecrosis	M87.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M89 Other disorders of bone	M89.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M93 Other osteochondropathies	M93.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M94 Other disorders of cartilage	M94.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
M95 Other acquired deformities of musculoskeletal system and connective tissue	M95.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
"M96 Postprocedural musculoskeletal disorders, not elsewhere classified"	M96.tsv	M00 - M99 Diseases of the musculoskeletal system and connective tissue
N02 Recurrent and persistent haematuria	N02.tsv	N00 - N99 Diseases of the genitourinary system
N10 Acute tubulo-interstitial nephritis	N10.tsv	N00 - N99 Diseases of the genitourinary system
"N12 Tubulo-interstitial nephritis, not specified as acute or chronic"	N12.tsv	N00 - N99 Diseases of the genitourinary system
N13 Obstructive and reflux uropathy	N13.tsv	N00 - N99 Diseases of the genitourinary system
N17 Acute renal failure	N17.tsv	N00 - N99 Diseases of the genitourinary system
N18 Chronic renal failure	N18.tsv	N00 - N99 Diseases of the genitourinary system
N19 Unspecified renal failure	N19.tsv	N00 - N99 Diseases of the genitourinary system
N20 Calculus of kidney and ureter	N20.tsv	N00 - N99 Diseases of the genitourinary system
N21 Calculus of lower urinary tract	N21.tsv	N00 - N99 Diseases of the genitourinary system
N23 Unspecified renal colic	N23.tsv	N00 - N99 Diseases of the genitourinary system
"N28 Other disorders of kidney and ureter, not elsewhere classified"	N28.tsv	N00 - N99 Diseases of the genitourinary system
N30 Cystitis	N30.tsv	N00 - N99 Diseases of the genitourinary system
"N31 Neuromuscular dysfunction of bladder, not elsewhere classified"	N31.tsv	N00 - N99 Diseases of the genitourinary system
N32 Other disorders of bladder	N32.tsv	N00 - N99 Diseases of the genitourinary system
N35 Urethral stricture	N35.tsv	N00 - N99 Diseases of the genitourinary system
N36 Other disorders of urethra	N36.tsv	N00 - N99 Diseases of the genitourinary system
N39 Other disorders of urinary system	N39.tsv	N00 - N99 Diseases of the genitourinary system
N40 Hyperplasia of prostate	N40.tsv	N00 - N99 Diseases of the genitourinary system
N41 Inflammatory diseases of prostate	N41.tsv	N00 - N99 Diseases of the genitourinary system
N42 Other disorders of prostate	N42.tsv	N00 - N99 Diseases of the genitourinary system
N43 Hydrocele and spermatocele	N43.tsv	N00 - N99 Diseases of the genitourinary system
N45 Orchitis and epididymitis	N45.tsv	N00 - N99 Diseases of the genitourinary system
"N47 Redundant prepuce, phimosis and paraphimosis"	N47.tsv	N00 - N99 Diseases of the genitourinary system
N48 Other disorders of penis	N48.tsv	N00 - N99 Diseases of the genitourinary system
"N49 Inflammatory disorders of male genital organs, not elsewhere classified"	N49.tsv	N00 - N99 Diseases of the genitourinary system
N50 Other disorders of male genital organs	N50.tsv	N00 - N99 Diseases of the genitourinary system
N60 Benign mammary dysplasia	N60.tsv	N00 - N99 Diseases of the genitourinary system
N61 Inflammatory disorders of breast	N61.tsv	N00 - N99 Diseases of the genitourinary system
N62 Hypertrophy of breast	N62.tsv	N00 - N99 Diseases of the genitourinary system
N63 Unspecified lump in breast	N63.tsv	N00 - N99 Diseases of the genitourinary system
N64 Other disorders of breast	N64.tsv	N00 - N99 Diseases of the genitourinary system
N70 Salpingitis and oophoritis	N70.tsv	N00 - N99 Diseases of the genitourinary system
"N71 Inflammatory disease of uterus, except cervix"	N71.tsv	N00 - N99 Diseases of the genitourinary system
N72 Inflammatory disease of cervix uteri	N72.tsv	N00 - N99 Diseases of the genitourinary system
N73 Other female pelvic inflammatory diseases	N73.tsv	N00 - N99 Diseases of the genitourinary system
N75 Diseases of Bartholin's gland	N75.tsv	N00 - N99 Diseases of the genitourinary system
N76 Other inflammation of vagina and vulva	N76.tsv	N00 - N99 Diseases of the genitourinary system
N80 Endometriosis	N80.tsv	N00 - N99 Diseases of the genitourinary system
N81 Female genital prolapse	N81.tsv	N00 - N99 Diseases of the genitourinary system
N82 Fistulae involving female genital tract	N82.tsv	N00 - N99 Diseases of the genitourinary system
"N83 Noninflammatory disorders of ovary, Fallopian tube and broad ligament"	N83.tsv	N00 - N99 Diseases of the genitourinary system
N84 Polyp of female genital tract	N84.tsv	N00 - N99 Diseases of the genitourinary system
"N85 Other noninflammatory disorders of uterus, except cervix"	N85.tsv	N00 - N99 Diseases of the genitourinary system
N86 Erosion and ectropion of cervix uteri	N86.tsv	N00 - N99 Diseases of the genitourinary system
N87 Dysplasia of cervix uteri	N87.tsv	N00 - N99 Diseases of the genitourinary system
N88 Other noninflammatory disorders of cervix uteri	N88.tsv	N00 - N99 Diseases of the genitourinary system
N89 Other noninflammatory disorders of vagina	N89.tsv	N00 - N99 Diseases of the genitourinary system
N90 Other noninflammatory disorders of vulva and perineum	N90.tsv	N00 - N99 Diseases of the genitourinary system
"N92 Excessive, frequent and irregular menstruation"	N92.tsv	N00 - N99 Diseases of the genitourinary system
N93 Other abnormal uterine and vaginal bleeding	N93.tsv	N00 - N99 Diseases of the genitourinary system
N94 Pain and other conditions associated with female genital organs and menstrual cycle	N94.tsv	N00 - N99 Diseases of the genitourinary system
N95 Menopausal and other perimenopausal disorders	N95.tsv	N00 - N99 Diseases of the genitourinary system
N97 Female infertility	N97.tsv	N00 - N99 Diseases of the genitourinary system
"N99 Postprocedural disorders of genito-urinary system, not elsewhere classified"	N99.tsv	N00 - N99 Diseases of the genitourinary system
O00 Ectopic pregnancy	O00.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O02 Other abnormal products of conception	O02.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O03 Spontaneous abortion	O03.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O04 Medical abortion	O04.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O13 Gestational [pregnancy-induced] hypertension without significant proteinuria	O13.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O14 Gestational [pregnancy-induced] hypertension with significant proteinuria	O14.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O16 Unspecified maternal hypertension	O16.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O20 Haemorrhage in early pregnancy	O20.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O21 Excessive vomiting in pregnancy	O21.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O23 Infections of genito-urinary tract in pregnancy	O23.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O26 Maternal care for other conditions predominantly related to pregnancy	O26.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O32 Maternal care for known or suspected malpresentation of foetus	O32.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O34 Maternal care for known or suspected abnormality of pelvic organs	O34.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O35 Maternal care for known or suspected foetal abnormality and damage	O35.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O36 Maternal care for other known or suspected foetal problems	O36.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O42 Premature rupture of membranes	O42.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O44 Placenta praevia	O44.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
"O46 Antepartum haemorrhage, not elsewhere classified"	O46.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O47 False labour	O47.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O48 Prolonged pregnancy	O48.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O60 Preterm delivery	O60.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O62 Abnormalities of forces of labour	O62.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O63 Long labour	O63.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O64 Obstructed labour due to malposition and malpresentation of foetus	O64.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O68 Labour and delivery complicated by foetal stress [distress]	O68.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O69 Labour and delivery complicated by umbilical cord complications	O69.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O70 Perineal laceration during delivery	O70.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O72 Postpartum haemorrhage	O72.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
"O75 Other complications of labour and delivery, not elsewhere classified"	O75.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O80 Single spontaneous delivery	O80.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
O82 Single delivery by Caesarean section	O82.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
"O99 Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"	O99.tsv	"O00 - O99 Pregnancy, childbirth and the puerperium"
Q18 Other congenital malformations of face and neck	Q18.tsv	"Q00 - Q99 Congenital malformations, deformations and chromosomal abnormalities"
Q21 Congenital malformations of cardiac septa	Q21.tsv	"Q00 - Q99 Congenital malformations, deformations and chromosomal abnormalities"
"Q38 Other congenital malformations of tongue, mouth and pharynx"	Q38.tsv	"Q00 - Q99 Congenital malformations, deformations and chromosomal abnormalities"
Q66 Congenital deformities of feet	Q66.tsv	"Q00 - Q99 Congenital malformations, deformations and chromosomal abnormalities"
Q82 Other congenital malformations of skin	Q82.tsv	"Q00 - Q99 Congenital malformations, deformations and chromosomal abnormalities"
R00 Abnormalities of heart beat	R00.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R04 Haemorrhage from respiratory passages	R04.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R05 Cough	R05.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R06 Abnormalities of breathing	R06.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R07 Pain in throat and chest	R07.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R09 Other symptoms and signs involving the circulatory and respiratory systems	R09.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R10 Abdominal and pelvic pain	R10.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R11 Nausea and vomiting	R11.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R12 Heartburn	R12.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R13 Dysphagia	R13.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R14 Flatulence and related conditions	R14.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R15 Faecal incontinence	R15.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R17 Unspecified jaundice	R17.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R18 Ascites	R18.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R19 Other symptoms and signs involving the digestive system and abdomen	R19.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R20 Disturbances of skin sensation	R20.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R21 Rash and other nonspecific skin eruption	R21.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
"R22 Localised swelling, mass and lump of skin and subcutaneous tissue"	R22.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R23 Other skin changes	R23.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R25 Abnormal involuntary movements	R25.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R26 Abnormalities of gait and mobility	R26.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R29 Other symptoms and signs involving the nervous and musculoskeletal systems	R29.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R30 Pain associated with micturition	R30.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R31 Unspecified haematuria	R31.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R32 Unspecified urinary incontinence	R32.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R33 Retention of urine	R33.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R35 Polyuria	R35.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R39 Other symptoms and signs involving the urinary system	R39.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
"R40 Somnolence, stupor and coma"	R40.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R41 Other symptoms and signs involving cognitive functions and awareness	R41.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R42 Dizziness and giddiness	R42.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
"R47 Speech disturbances, not elsewhere classified"	R47.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R49 Voice disturbances	R49.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R50 Fever of unknown origin	R50.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R51 Headache	R51.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
"R52 Pain, not elsewhere classified"	R52.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R53 Malaise and fatigue	R53.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R54 Senility	R54.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R55 Syncope and collapse	R55.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
"R56 Convulsions, not elsewhere classified"	R56.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R59 Enlarged lymph nodes	R59.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
"R60 Oedema, not elsewhere classified"	R60.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R61 Hyperhidrosis	R61.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R63 Symptoms and signs concerning food and fluid intake	R63.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R68 Other general symptoms and signs	R68.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R69 Unknown and unspecified causes of morbidity	R69.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R73 Elevated blood glucose level	R73.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R76 Other abnormal immunological findings in serum	R76.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R79 Other abnormal findings of blood chemistry	R79.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R86 Abnormal findings in specimens from male genital organs	R86.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R87 Abnormal findings in specimens from female genital organs	R87.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R90 Abnormal findings on diagnostic imaging of central nervous system	R90.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
R91 Abnormal findings on diagnostic imaging of lung	R91.tsv	"R00 - R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
S00 Superficial injury of head	S00.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S01 Open wound of head	S01.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S02 Fracture of skull and facial bones	S02.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S05 Injury of eye and orbit	S05.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S06 Intracranial injury	S06.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S09 Other and unspecified injuries of head	S09.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S12 Fracture of neck	S12.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S20 Superficial injury of thorax	S20.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"S22 Fracture of rib(s), sternum and thoracic spine"	S22.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S27 Injury of other and unspecified intrathoracic organs	S27.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"S30 Superficial injury of abdomen, lower back and pelvis"	S30.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"S31 Open wound of abdomen, lower back and pelvis"	S31.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S32 Fracture of lumbar spine and pelvis	S32.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"S39 Other and unspecified injuries of abdomen, lower back and pelvis"	S39.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S42 Fracture of shoulder and upper arm	S42.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"S43 Dislocation, sprain and strain of joints and ligaments of shoulder girdle"	S43.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S46 Injury of muscle and tendon at shoulder and upper arm level	S46.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S51 Open wound of forearm	S51.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S52 Fracture of forearm	S52.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S56 Injury of muscle and tendon at forearm level	S56.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S60 Superficial injury of wrist and hand	S60.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S61 Open wound of wrist and hand	S61.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S62 Fracture at wrist and hand level	S62.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
"S63 Dislocation, sprain and strain of joints and ligaments at wrist and hand level"	S63.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S64 Injury of nerves at wrist and hand level	S64.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
S66 Injury of muscle and tendon at wrist and hand level	S66.tsv	"S00 - T98 Injury, poisoning and certain other consequences of external causes"
